ID	Title	Country	Ctl	MA	Type	Drugs	Primary Endpoint	Population	
<a href="https://ClinicalTrials.gov/show/NCT04319900">NCT04319900</a>	Clinical Trial of Favipiravir Tablets Combine With Chloroquine Phosphate in the Treatment of Novel Coronavirus Pneumonia	China	Y	Y	Drug Repurposing	Favipiravir, Chloroquine	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04252885">NCT04252885</a>	The Efficacy of Lopinavir Plus Ritonavir and Arbidol Against Novel Coronavirus Infection	China	Y	Y	Drug Repurposing	Lopinavir/ritonavir, Umifenovir	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04282902">NCT04282902</a>	A Study to Evaluate the Efficacy and Safety of Pirfenidone With Novel Coronavirus Infection	China	Y	N	Drug Repurposing	Pirfenidone	Efficacy - Oxygen parameters	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04329520">NCT04329520</a>	EPICOS Clinical Trial for the Prevention of Infection in Healthcare Personnel	Spain	Y	Y	Drug Repurposing	Emtricitabine/tenofovir, Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://ClinicalTrials.gov/show/NCT04337216">NCT04337216</a>	Mavrilimumab to Reduce Progression of Acute Respiratory Failure in Patients With Severe COVID-19 Pneumonia and Systemic Hyper-inflammation	United States	N	N	Shelved drug or NME	Mavrilimumab	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001224-33/DE">2020-001224-33</a>	Randomized controlled trial of hydroxychloroquine versus placebo for the treatment of adult patients with acute coronavirus disease 2019 &ndash; COVID-19	Germany	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49607">ChiCTR2000029935</a>	A Single-arm Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19)	China	N	N	Drug Repurposing	Chloroquine	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49533">ChiCTR2000029850</a>	Effecacy and safty of convalescent plasma treatment for severe patients with novel coronavirus pneumonia (COVID-19): a prospective cohort study	China	N	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Mortality	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49342">ChiCTR2000029776</a>	A randomized, open-label, blank-controlled, multicenter trial for Polyinosinic-Polycytidylic Acid Injection in the treatment of novel coronavirus pneumonia (COVID-19)	China	N	N	Shelved drug or NME	Polyinosinic-Polycytidylic Acid	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49086">ChiCTR2000029656</a>	A randomized, open-label study to evaluate the efficacy and safety of low-dose corticosteroids in hospitalized patients with novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Methylprednisolone	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49297">ChiCTR2000029742</a>	A randomized, parallel controlled trial for the efficacy and safety of Sodium Aescinate Injection in the treatment of patients with pneumonia (COVID-19)	China	Y	N	Shelved drug or NME	Sodium Aescinate	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49263">ChiCTR2000029741</a>	Efficacy of Chloroquine and Lopinavir/ Ritonavir in mild/general novel coronavirus (CoVID-19) infections: a prospective, open-label, multicenter randomized controlled clinical study	China	Y	N	Drug Repurposing	Chloroquine	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49215">ChiCTR2000029636</a>	Efficacy and safety of aerosol inhalation of vMIP in the treatment of novel coronavirus pneumonia (COVID-19): a single arm clinical trial	China	N	N	Shelved drug or NME	vMIP	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49161">ChiCTR2000029806</a>	Optimization of treatment and diagnosis plan for critically ill patients	China	Y	Y	Drug Repurposing, Shelved drug or NME	Thymosin, Camrelizumab	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49612">ChiCTR2000029939</a>	A Single-blind, Randomized, Controlled Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19)	China	Y	N	Drug Repurposing	Chloroquine	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49409">ChiCTR2000029765</a>	A multicenter, randomized controlled trial for the efficacy and safety of tocilizumab in the treatment of new coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Tocilizumab	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49062">ChiCTR2000029569</a>	Safety and efficacy of umbilical cord blood mononuclear cells conditioned medium in the treatment of severe and critically novel coronavirus pneumonia (COVID-19): a randomized controlled trial	China	Y	N	Shelved drug or NME	ND:MSC	Efficacy - Other efficacy	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=48968">ChiCTR2000029542</a>	A prospective cohort study for the efficacy and safety of chloroquine in hospitalized patients with novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Chloroquine	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=48991">ChiCTR2000029539</a>	A randomized, open-label study to evaluate the efficacy and safety of Lopinavir-Ritonavir in patients with mild novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Lopinavir/ritonavir	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49229">ChiCTR2000030173</a>	Key techniques of umbilical cord mesenchymal stem cells for the treatment of novel coronavirus pneumonia (COVID-19) and clinical application demonstration	China	Y	N	Cell/Blood based	ND:MSC	Efficacy - Oxygen parameters	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49901">ChiCTR2000030116</a>	Safety and effectiveness of human umbilical cord mesenchymal stem cells in the treatment of acute respiratory distress syndrome of severe novel coronavirus pneumonia (COVID-19)	China	N	N	Cell/Blood based	ND:MSC	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49042">ChiCTR2000029600</a>	Clinical study on safety and efficacy of Favipiravir in the treatment of novel coronavirus pneumonia (COVID-19)	China	Y	Y	Drug Repurposing	Favipiravir, Lopinavir/ritonavir, Interferon alpha	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49532">ChiCTR2000029853</a>	A randomized, open-label, controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)	China	Y	N	Shelved drug or NME	Azvudine	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=48880">ChiCTR2000029559</a>	Therapeutic effect of hydroxychloroquine on novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=49013">ChiCTR2000029544</a>	A randomized controlled trial for the efficacy and safety of Baloxavir Marboxil, Favipiravir tablets in novel coronavirus pneumonia (COVID-19) patients who are still positive on virus detection under the current antiviral therapy	China	Y	Y	Drug Repurposing	Baloxavir Marboxil, Favipiravir	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="http://www.chictr.org.cn/showproj.aspx?proj=48992">ChiCTR2000029541</a>	A randomised, open, controlled trial for darunavir/cobicistat or Lopinavir/ritonavir combined with thymosin a1 in the treatment of novel coronavirus pneumonia (COVID-19)	China	Y	N	Drug Repurposing	Darunavir, Cobicistat, Lopinavir/ritonavir, Thymosin alpha	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
