Page,Compound Name,Clinical name,Clinical provider,Biochemical provider/ZINC/pubchem,Drug Status,Other clinical names,References,Pubchem,Drugbank,Notes,Structure,Group,Human Target,Viral Bait,Mechanism,Affinity (nM),Affinity Type,Covid Trial
17,RVX-208,Apabetalone,Resverlogix,https://pubchem.ncbi.nlm.nih.gov/compound/135564749#section=Chemical-Vendors,Phase 3 trial,,10.1101/2020.03.22.002386,135564749,DB12000,,,,BRD2/4,E,BRD inhibitor,50-1800,IC50,
17,Silmitasertib,-,orphan drug; Senhwa Biosciences,https://pubchem.ncbi.nlm.nih.gov/compound/24748573#section=Chemical-Vendors,Approved,CX-4945,10.1101/2020.03.22.002386,24748573,,,,,CSNK2A2,N,CK2 inhibitor,1,IC50,
17,TMCB,-,-,http://zinc.docking.org/substances/ZINC000058638742/,Pre-clinical,,10.1101/2020.03.22.002386,46943415,,,,,CSNK2A2,N,Multi-targeted protein kinase inhibitor,21,Ki,
17,Apicidin,-,Topotarget (defunct),https://pubchem.ncbi.nlm.nih.gov/compound/6918328#section=Chemical-Vendors,Pre-clinical,,10.1101/2020.03.22.002386,6918328,,,,,HDAC2,Nsp5,HDAC2 inhibitor,120,IC50,
17,Valproic Acid,"Valproate, Convulex, Depakote, Epilim, Stavzor",generic,https://pubchem.ncbi.nlm.nih.gov/compound/3121#section=Chemical-Vendors,Approved,Dipropylacetic acid,10.1101/2020.03.22.002386,3121,,,,,HDAC2,Nsp5,HDAC2 inhibitor,62000,IC50,
18,Bafilomycin A1,bafilomycin A1,-,http://zinc15.docking.org/substances/ZINC000169647947/,Pre-clinical,,"10.1101/2020.03.22.002386, PMID:9572882",6436223,DB06733,Natural; from Streptomyces griseus,,,"ATP6AP1, ATP6V1A","Nsp6, M",ATPase inhibitor,100,IC50,
18,E-52862,-,Esteve,http://zinc.docking.org/substances/ZINC000095000617/,Phase II trials,"S1RA, MR-309",10.1101/2020.03.22.002386,44247568,,,,,SIGMAR1,Nsp6,Sigma 1 antagonist,17,IC50,
18,PD-144418,-,-,http://zinc.docking.org/substances/ZINC5862/,Pre-clinical,,10.1101/2020.03.22.002386,9817231,,,,,SIGMAR1,Nsp6,Sigma 1 antagonist,0.8,Ki,
18,RS-PPCC,(RS)-PPCC,-,-,Pre-clinical,,"10.1101/2020.03.22.002386, PMID:17328523",16726095,,,,,SIGMAR1,Nsp6,Sigma 1 agonist,1.5,Ki,
18,PB28,PB-28,,https://pubchem.ncbi.nlm.nih.gov/compound/10474335#section=Chemical-Vendors,Pre-clinical,,10.1101/2020.03.22.002386,10474335,,,,,"SIGMAR1, TMEM97","Nsp6, Orf9c",Sigma 1/2 modulator,15,IC50,
18,Haloperidol,"Haldol, Serenace, Duraperidol, etc",generic (Janssen-Cilag AG),https://pubchem.ncbi.nlm.nih.gov/compound/3559#section=Chemical-Vendors,Approved,,10.1101/2020.03.22.002386,3559,DB00502,Common antipsychotic,,,"SIGMAR1, TMEM97","Nsp6, Orf9c",Sigma 1/2 modulator,2-12,IC50,
18,Entacapone,Comtan,Orion,https://pubchem.ncbi.nlm.nih.gov/compound/5281081#section=Chemical-Vendors&fullscreen=true,Approved,,10.1101/2020.03.22.002386,5281081,,,,,COMT,Nsp7,COMT inhibitor,151,IC50,
18,Indomethacin,Indophtal,generic (Bausch & Lomb Swiss AG),https://pubchem.ncbi.nlm.nih.gov/compound/3715#section=Chemical-Vendors,Approved,,10.1101/2020.03.22.002386,3715,,,,,PTGES2,Nsp7,Prostaglandin E2 synthase inhibitor,750,IC50,
19,Metformin,"Fortamet, Glucophage, Glumetza",generic,https://pubchem.ncbi.nlm.nih.gov/compound/4091#section=Chemical-Vendors,Approved,,10.1101/2020.03.22.002386,4091,,,,,NDUFs,"NSP7, Orf9c",MRC 1 inhibitor (indirect),,,
19,Ponatinib,Iclusig,ARIAD Pharmaceuticals; Incyte Biosciences,https://pubchem.ncbi.nlm.nih.gov/compound/24826799#section=Chemical-Vendors,Approved,,10.1101/2020.03.22.002386,24826799,,,,,RIPK1,Nsp12,RIPK1 inhibitor,12,IC50,
19,H-89,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/449241#section=Chemical-Vendors,Pre-clinical,,10.1101/2020.03.22.002386,449241,,,,,PRKACA,Nsp13,Protein kinase A inhibitor,48,KD,
19,Merimepodib,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/153241#section=Chemical-Vendors,Phase II trial complete 2007,,10.1101/2020.03.22.002386,153241,,,,,IMPDH2,Nsp14,IMPDH inhibitor,10,Ki,
19,Migalastat,Galafold,orphan drug,https://pubchem.ncbi.nlm.nih.gov/compound/176077#section=Chemical-Vendors,Approved,,10.1101/2020.03.22.002386,176077,,,,,GLA,Nsp14,α-Gal inhibitor,40,IC50,
19,Mycophenolic acid,Myfortic,Novartis,,Approved,,10.1101/2020.03.22.002386,446541,,,,,IMPDH2,Nsp14,IMPDH inhibitor,20,IC50,
17,JQ1,-,Resverlogix,https://pubchem.ncbi.nlm.nih.gov/compound/46907787#section=Chemical-Vendors,Pre-clinical,,10.1101/2020.03.22.002386,46907787,None,Short half-life makes it unsuitable for trials,,,BRD2/4,E,BRD inhibitor,40-120,IC50,
19,Ribavirin,,,https://pubchem.ncbi.nlm.nih.gov/compound/37542#section=Chemical-Vendors,Approved,,10.1101/2020.03.22.002386,37542,,,,,IMPDH2,Nsp14,IMPDH inhibitor,100-250,IC50,
19,XL413,,,https://pubchem.ncbi.nlm.nih.gov/compound/135564631#section=Chemical-Vendors,Clinical Trial,,10.1101/2020.03.22.002386,135564631,,,,,DNMT1,Orf8,CDC7 inhibitor,3.4,IC50,
19,CCT 365623,,,https://pubchem.ncbi.nlm.nih.gov/compound/139266765#section=Chemical-Vendors,Pre-clinical,,10.1101/2020.03.22.002386,139266765,,,,,LOX,Orf8,LOXL2 inhibitor,1500,IC50,
20,Midostaurin,Rydapt,Novartis,https://pubchem.ncbi.nlm.nih.gov/compound/Midostaurin#section=Chemical-Vendors&fullscreen=true,Approved,-,"10.1101/2020.03.22.002386, PMC4848023",9829523,DB06595,,,,MARK2/3,Orf9b,Protein kinase inhibitor,"100, 23",KD,
20,Ruxolitinib,Jakafi,Incyte / Novartis,https://pubchem.ncbi.nlm.nih.gov/compound/25126798#section=Chemical-Vendors&fullscreen=true,Approved,"INCB018424, Jakavi","10.1101/2020.03.22.002386, PMID:30069628",25126798,DB08877,,,,MARK2/3,Orf9b,Protein kinase inhibitor,"660, >10000",KD,
20,ZINC1775962367,-,-,https://www.molport.com/shop/molecule-link/MolPort-046-629-001,Pre-clinical,,"10.1101/2020.03.22.002386, PMID:26771665",-,-,dCTPase inhibitor,,,DCTPP1,Orf9b,dCTPase inhibitor,47,IC50,
20,ZINC4326719,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/661498#section=Chemical-Vendors,Pre-clinical,,"10.1101/2020.03.22.002386, PMID:28145708",661498,-,DCTPP1 inhibitor,,,DCTPP1,Orf9b,DCTPP1 inhibitor,19,IC50,
20,ZINC4511851,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/3163969#section=Chemical-Vendors,Pre-clinical,,"10.1101/2020.03.22.002386, PMID:28655422",3163969,-,dCTPase inhibitor,,,DCTPP1,Orf9b,dCTPase inhibitor,20,IC50,
20,ZINC95559591,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/44465558#section=Chemical-Vendors,Pre-clinical,,"10.1101/2020.03.22.002386, 10.1016/j.bmcl.2012.09.063",44465558,-,protein kinase inhibitor MARK3,,,"MARK3, TBK1","Orf9b, Nsp13",Protein kinase inhibitor,"12, 6",IC50,
20,AC-55541,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/9589606#section=Chemical-Vendors,Pre-clinical,,"10.1101/2020.03.22.002386, 10.1021/jm800754r",9589606,-,protease-activated receptor 2 agonist,,,F2RL1,Orf9c,PAR agonist,6.7,pEC50,
20,AZ8838,-,-,https://aobious.com/aobious/g-protein-coupled-receptor-ligands/13022-az8838.html,Pre-clinical,,"10.1101/2020.03.22.002386, PMID:28445455",126961334,-,protease-activated receptor 2 antagonist,,,F2RL1,Orf9c,PAR antagonist,344,IC50,
21,Daunorubicin,Cerubidine,generic,https://pubchem.ncbi.nlm.nih.gov/compound/30323#section=Chemical-Vendors,Approved (cancer),,10.1101/2020.03.22.002386,30323,DB00694,,,,ABCC1,Orf9c,Topoisomerase inhibitor,70,Ki,
21,GB110,-,-,The synthesis is described in the original paper.,Pre-clinical,,"10.1101/2020.03.22.002386, PMID:20873792",49843508,-,protease-activated receptor 2 antagonist,,,F2RL1,Orf9c,PAR2 agonist,280,EC50,
21,S-verapamil,Isoptin,generic,https://pubchem.ncbi.nlm.nih.gov/compound/2520#section=Chemical-Vendors,Approved (hypertension),"Calan, Verelan",10.1101/2020.03.22.002386,2520,DB00661,,,,ABCC1,Orf9c,Ca2+ channel inhibitor and drug efflux transporter inhibitor,113,Ki,
21,AZ3451,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/126961335#section=Chemical-Vendors,Pre-clinical,-,"10.1101/2020.03.22.002386, PMID:28445455",126961335,-,protease-activated receptor 2 antagonist,,,F2RL1,Orf9c,PAR2 negative allosteric modulator,15,pKD,
22,ABBV-744,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/132010322#section=Chemical-Vendors&fullscreen=true,"Phase I clinical trial by AbbVie, advanced prostate cancer (NCT03360006)",,"10.1101/2020.03.22.002386, PMID:31969702",132010322,,,,,BRD2/4,E,BRD inhibitor,2.1,KD,
22,dBET6,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/121427831#section=Chemical-Vendors&fullscreen=true,Pre-clinical,-,"10.1101/2020.03.22.002386, PMID:29764999",121427831,,,,,BRD2/4,E,Degrades BRD proteins,<10000,IC50,
22,MZ1,-,-,Synthesis described in reference,Pre-clinical,,"10.1101/2020.03.22.002386, PMC4548256",,,,,,BRD2/4,E,Degrades BRD proteins,120-228,KD,
22,CPI-0610,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/57389999#section=Chemical-Vendors&fullscreen=true,Phase II trial in progress by Constellation Pharmaceuticals (NCT02158858),-,"10.1101/2020.03.22.002386, PMID:27890933",57389999,,,,,BRD2/4,E,BRD2/4 inhibitor,"25, 18",IC50,
